Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,8533.238281,8619.142578,8447.333008,8590.507813,8254.484375,5164405
2019-03-04,8590.507813,8733.682617,8561.873047,8705.047852,8364.543945,10898750
2019-03-05,8705.047852,8790.953125,8619.142578,8676.413086,8337.029297,8611453
2019-03-06,8647.778320,8705.047852,8590.507813,8676.413086,8337.029297,11100248
2019-03-07,8705.047852,8790.953125,8676.413086,8733.682617,8392.058594,11530669
2019-03-08,8705.047852,8762.318359,8647.778320,8676.413086,8337.029297,4948093
2019-03-11,8676.413086,8762.318359,8647.778320,8705.047852,8364.543945,9866759
2019-03-12,8733.682617,8848.223633,8676.413086,8848.223633,8502.119141,8745639
2019-03-13,8905.493164,9077.303711,8848.223633,8991.398438,8639.694336,19114578
2019-03-14,8991.398438,9163.208008,8962.763672,9020.033203,8667.208984,8148129
2019-03-15,9048.667969,9105.938477,8962.763672,9077.303711,8722.239258,10488657
2019-03-18,9105.938477,9220.478516,9077.303711,9134.573242,8777.268555,23544932
2019-03-19,9163.208008,9163.208008,8934.127930,8962.763672,8612.178711,9879001
2019-03-20,8991.398438,8991.398438,8790.953125,8876.858398,8529.633789,25062882
2019-03-21,8876.858398,8991.398438,8705.047852,8705.047852,8364.543945,19087704
2019-03-22,8705.047852,8790.953125,8705.047852,8733.682617,8392.058594,6352955
2019-03-25,8705.047852,8705.047852,8561.873047,8619.142578,8281.999023,15172899
2019-03-26,8647.778320,8705.047852,8619.142578,8676.413086,8337.029297,5378743
2019-03-27,8705.047852,8762.318359,8647.778320,8705.047852,8364.543945,3157262
2019-03-28,8705.047852,8733.682617,8647.778320,8676.413086,8337.029297,4773057
2019-03-29,8676.413086,8733.682617,8647.778320,8676.413086,8337.029297,6688554
2019-04-01,8676.413086,8733.682617,8676.413086,8676.413086,8337.029297,2625256
2019-04-02,8733.682617,8790.953125,8676.413086,8676.413086,8337.029297,4381674
2019-04-03,8733.682617,8733.682617,8561.873047,8619.142578,8281.999023,4871283
2019-04-04,8561.873047,8676.413086,8561.873047,8647.778320,8309.514648,3810513
2019-04-05,8647.778320,8705.047852,8619.142578,8647.778320,8309.514648,2681602
2019-04-08,8647.778320,8848.223633,8647.778320,8819.587891,8474.603516,8090083
2019-04-09,8819.587891,8876.858398,8733.682617,8733.682617,8392.058594,6500950
2019-04-10,8676.413086,8733.682617,8647.778320,8647.778320,8309.514648,3033253
2019-04-11,8762.318359,8762.318359,8619.142578,8676.413086,8337.029297,3163016
2019-04-12,8647.778320,8676.413086,8590.507813,8647.778320,8309.514648,3671475
2019-04-15,null,null,null,null,null,null
2019-04-16,8647.778320,8647.778320,8533.238281,8590.507813,8254.484375,4731388
2019-04-17,8619.142578,8676.413086,8561.873047,8561.873047,8226.969727,2403828
2019-04-18,8390.062500,8590.507813,8390.062500,8504.602539,8171.939453,3558775
2019-04-19,8533.238281,8561.873047,8475.967773,8475.967773,8144.424805,2092893
2019-04-22,8504.602539,8504.602539,8332.792969,8390.062500,8061.879395,5118475
2019-04-23,8418.698242,8561.873047,8332.792969,8475.967773,8144.424805,5768274
2019-04-24,8504.602539,8647.778320,8447.333008,8619.142578,8281.999023,3710082
2019-04-25,8619.142578,8705.047852,8561.873047,8590.507813,8254.484375,2603382
2019-04-26,8590.507813,8647.778320,8561.873047,8619.142578,8281.999023,3922039
2019-04-29,null,null,null,null,null,null
2019-04-30,null,null,null,null,null,null
2019-05-01,null,null,null,null,null,null
2019-05-02,8647.778320,8676.413086,8504.602539,8504.602539,8171.939453,4380934
2019-05-03,8533.238281,8590.507813,8533.238281,8590.507813,8254.484375,3894266
2019-05-06,8590.507813,8590.507813,8418.698242,8418.698242,8089.395020,5347207
2019-05-07,8590.507813,8590.507813,8361.427734,8447.333008,8116.910156,3036386
2019-05-08,8390.062500,8475.967773,8332.792969,8447.333008,8116.910156,3562036
2019-05-09,8418.698242,8447.333008,8332.792969,8332.792969,8006.850098,2108507
2019-05-10,8332.792969,8418.698242,8304.157227,8390.062500,8061.879395,2259731
2019-05-13,8418.698242,8475.967773,8361.427734,8361.427734,8034.364746,3713409
2019-05-14,8361.427734,8390.062500,8275.522461,8332.792969,8006.850098,5594079
2019-05-15,8332.792969,8504.602539,8332.792969,8447.333008,8116.910156,4508097
2019-05-16,8475.967773,8475.967773,8361.427734,8390.062500,8061.879395,5123934
2019-05-17,8390.062500,8418.698242,8361.427734,8361.427734,8034.364746,2975619
2019-05-20,8390.062500,8447.333008,8332.792969,8390.062500,8061.879395,2388694
2019-05-21,8418.698242,8504.602539,8390.062500,8418.698242,8089.395020,4837746
2019-05-22,8418.698242,8561.873047,8418.698242,8475.967773,8144.424805,4451567
2019-05-23,8561.873047,8590.507813,8390.062500,8447.333008,8116.910156,2203981
2019-05-24,7788.727051,8447.333008,7788.727051,8361.427734,8034.364746,3112853
2019-05-27,8332.792969,8361.427734,8304.157227,8304.157227,7979.334473,3241082
2019-05-28,8304.157227,8361.427734,8275.522461,8275.522461,7951.819824,3286643
2019-05-29,8275.522461,8361.427734,8218.252930,8361.427734,8034.364746,3784681
2019-05-30,8332.792969,8361.427734,8304.157227,8332.792969,8006.850098,2568175
2019-05-31,8304.157227,8332.792969,8218.252930,8304.157227,7979.334473,3581676
2019-06-03,8218.252930,8304.157227,8189.617676,8218.252930,7896.790527,4116290
2019-06-04,8218.252930,8304.157227,8189.617676,8189.617676,7869.275391,3038295
2019-06-05,8189.617676,8275.522461,8189.617676,8275.522461,7951.819824,3690529
2019-06-06,8275.522461,8275.522461,8132.347656,8160.982422,7841.760254,3429671
2019-06-07,8160.982422,8246.887695,8160.982422,8218.252930,7896.790527,985461
2019-06-10,8218.252930,8275.522461,8189.617676,8189.617676,7869.275391,1617438
2019-06-11,8189.617676,8218.252930,8189.617676,8189.617676,7869.275391,1969806
2019-06-12,8189.617676,8218.252930,8160.982422,8160.982422,7841.760254,2820416
2019-06-13,8160.982422,8218.252930,8160.982422,8189.617676,7869.275391,2957184
