Date,Open,High,Low,Close,Adj Close,Volume
2019-04-29,null,null,null,null,null,null
2019-04-30,null,null,null,null,null,null
2019-05-01,null,null,null,null,null,null
2019-05-02,14768.672852,14768.672852,14491.327148,14560.664063,14560.664063,2768469
2019-05-03,14491.327148,14664.667969,14456.659180,14491.327148,14491.327148,2487477
2019-05-06,14283.317383,14352.654297,14109.976563,14179.312500,14179.312500,3565842
2019-05-07,14213.981445,14421.990234,14040.639648,14144.644531,14144.644531,2288808
2019-05-08,13971.303711,14179.312500,13936.634766,14179.312500,14179.312500,2577372
2019-05-09,14144.644531,14283.317383,13901.966797,13936.634766,13936.634766,2880026
2019-05-10,14005.971680,14213.981445,13971.303711,14075.308594,14075.308594,2879608
2019-05-13,14144.644531,14456.659180,14075.308594,14179.312500,14179.312500,2783036
2019-05-14,14040.639648,14317.986328,14040.639648,14248.649414,14248.649414,3030192
2019-05-15,14317.986328,14664.667969,14317.986328,14664.667969,14664.667969,5302892
2019-05-16,14664.667969,14803.341797,14560.664063,14630.000000,14630.000000,3528083
2019-05-17,14630.000000,14803.341797,14560.664063,14699.336914,14699.336914,3787730
2019-05-20,14699.336914,14907.345703,14630.000000,14803.341797,14803.341797,4116186
2019-05-21,14803.341797,14907.345703,14699.336914,14734.004883,14734.004883,3319665
2019-05-22,14768.672852,15046.019531,14734.004883,14942.014648,14942.014648,7209059
2019-05-23,14907.345703,14976.682617,14768.672852,14907.345703,14907.345703,2708703
2019-05-24,14803.341797,14907.345703,14699.336914,14699.336914,14699.336914,3172960
2019-05-27,14664.667969,14734.004883,14560.664063,14699.336914,14699.336914,2597217
2019-05-28,14699.336914,14699.336914,14491.327148,14560.664063,14560.664063,3151038
2019-05-29,14491.327148,14525.995117,14317.986328,14317.986328,14317.986328,3355130
2019-05-30,14283.317383,14456.659180,14213.981445,14317.986328,14317.986328,2264203
2019-05-31,14387.322266,14387.322266,14075.308594,14075.308594,14075.308594,3046606
2019-06-03,13936.634766,14109.976563,13797.961914,13797.961914,13797.961914,4437936
2019-06-04,13867.298828,14005.971680,13797.961914,13867.298828,13867.298828,2929668
2019-06-05,14075.308594,14248.649414,13936.634766,13936.634766,13936.634766,2762931
2019-06-06,13936.634766,14109.976563,13832.630859,14075.308594,14075.308594,2858147
2019-06-07,14144.644531,14179.312500,14075.308594,14179.312500,14179.312500,2003793
2019-06-10,14352.654297,14387.322266,14179.312500,14213.981445,14213.981445,3701759
2019-06-11,14213.981445,14248.649414,14179.312500,14213.981445,14213.981445,1649058
2019-06-12,14179.312500,14213.981445,14040.639648,14040.639648,14040.639648,1749972
2019-06-13,14005.971680,14109.976563,13971.303711,13971.303711,13971.303711,2054342
2019-06-14,14040.639648,14283.317383,13971.303711,14075.308594,14075.308594,5183013
2019-06-17,14144.644531,14283.317383,14109.976563,14179.312500,14179.312500,3747384
2019-06-18,14213.981445,14283.317383,14040.639648,14040.639648,14040.639648,2694266
2019-06-19,14144.644531,14213.981445,14040.639648,14040.639648,14040.639648,2060631
2019-06-20,14040.639648,14560.664063,14005.971680,14560.664063,14560.664063,8063242
2019-06-21,14699.336914,14838.009766,14525.995117,14838.009766,14838.009766,6726139
2019-06-24,14803.341797,14907.345703,14664.667969,14838.009766,14838.009766,5700114
2019-06-25,14664.667969,14838.009766,14595.332031,14595.332031,14595.332031,5234573
2019-06-26,14525.995117,14803.341797,14491.327148,14491.327148,14491.327148,4485155
2019-06-27,14456.659180,14491.327148,14283.317383,14317.986328,14317.986328,6247834
2019-06-28,14352.654297,14387.322266,13520.616211,13520.616211,13520.616211,5975727
2019-07-01,14179.312500,14456.659180,14075.308594,14456.659180,14456.659180,5244756
